Crater name ,Interior volume
Roberts M,1569.35
Seleucus,1569.35
Eimmart,1567.74
Hansteen,1567.74
Vashakidze,1567.74
Koval'skiy,1566.13
Anderson F,1565.33
Gamow V,1565.33
Nansen A,1562.11
Wiener F,1562.11
Nother T,1560.51
Cai Lun,1559.71
Damoiseau H,1559.71
Lehmann E,1558.9
Planck B,1558.9
Emden D,1556.5
Hommel A,1552.49
Archytas D,1548.49
Jeans X,1547.69
Fraunhofer E,1546.89
Al-Khwarizmi J,1542.9
Geber,1542.9
Icarus X,1541.31
Romer T,1540.51
Rost A,1540.51
Schwarzschild A,1540.51
Delaunay,1538.92
Helmholtz D,1535.73
Plummer N,1534.14
Biela B,1532.55
Bilharz,1532.55
Murakami,1530.17
Einthoven X,1529.38
Woltjer,1528.58
Aston,1526.99
Hoffmeister,1525.41
Rhaeticus,1523.03
Saunder,1519.08
De Sitter W,1518.29
Van Gent,1518.29
Stebbins U,1516.71
Bragg M,1514.34
Brisbane,1514.34
Dawson,1514.34
